,PLOTNO,MONTH,YEAR,SPPNO,RAINTRT,DISPERSION,BLOCK,SUBBLOCK,DISPERSION.FOURLEVELS,FLUX.umolCO2.m2.s,FLUX.mgCO2C.m2.h,Exp.R2,Moisture.Calc,Moisture.Calc2,VWC.perc,VWC.perc2,Temp.C,PROPTOTPLOT,DryWt.g.m2,lnRootBiomass,MB.mg.gdw
25,25,5,2020,1,150,UNDER,EAST,A,POA,2.68,115.776,0.9993,13.3274,177.6195908,NA,NA,NA,0.6,744.6768578,6.612950376,5.437246251
26,26,5,2020,1,150,UNDER,EAST,A,AST,4.37,188.784,0.9864,12.91738,166.8587061,NA,NA,NA,0.1,115.4292986,4.748658209,6.66193139
27,27,5,2020,2,150,OVER,EAST,A,OVER,4.47,193.104,0.9746,13.39162,179.3354862,NA,NA,NA,0.405,155.2506523,5.045040922,5.472568603
28,28,5,2020,3,150,UNDER,EAST,A,FAB,5.58,241.056,0.9689,13.41632,179.9976423,NA,NA,NA,0.375,98.06227644,4.585602751,5.835250072
29,29,5,2020,6,150,OVER,EAST,A,OVER,3.85,166.32,0.9995,12.97172,168.2655198,NA,NA,NA,0.315,214.7195463,5.369332741,5.329849878
30,30,5,2020,2,150,OVER,EAST,A,OVER,5.51,238.032,0.9996,13.11498,172.0027004,NA,NA,NA,0.09,43.68069201,3.776906174,3.910767942
31,31,5,2020,1,150,UNDER,EAST,A,FAB,4.61,199.152,0.9998,13.48548,181.8581708,NA,NA,NA,0.07,407.8618832,6.010928596,3.961492776
32,32,5,2020,2,150,UNDER,EAST,A,FAB,4.73,204.336,0.9997,14.0437,197.2255097,NA,NA,NA,0.09,612.4068105,6.417396785,5.449767805
33,33,5,2020,1,150,UNDER,EAST,A,POA,3.36,145.152,0.9993,16.80022,282.247392,NA,NA,NA,0.05,423.4746607,6.048493679,5.014879376
34,34,5,2020,1,150,UNDER,EAST,A,AST,4.71,203.472,0.9996,15.42196,237.8368502,NA,NA,NA,0.02,91.0452978,4.511357161,4.245498933
35,35,5,2020,2,150,OVER,EAST,A,OVER,4.62,199.584,0.9997,15.00206,225.0618042,NA,NA,NA,0.8,335.9378522,5.816926179,5.549164891
36,36,5,2020,2,150,UNDER,EAST,A,POA,4.13,178.416,0.9996,14.45372,208.9100218,NA,NA,NA,0.75,1454.268822,7.282258525,7.251931498
37,37,5,2020,3,150,OVER,EAST,A,OVER,3.78,163.296,0.9997,18.05004,325.803944,NA,NA,NA,0.54,342.9548308,5.83759875,10.48702638
38,38,5,2020,6,150,UNDER,EAST,A,FAB,4.33,187.056,0.9993,18.42054,339.3162939,NA,NA,NA,0.51,166.8286671,5.11696734,4.351492593
39,39,5,2020,2,150,UNDER,EAST,A,AST,5.25,226.8,0.9998,18.78116,352.7319709,NA,NA,NA,0.77,180.6871999,5.196767359,6.046626432
40,40,5,2020,2,150,OVER,EAST,A,OVER,5.01,216.432,0.9998,17.88702,319.9454845,NA,NA,NA,0.24,93.15039139,4.534215299,4.558799987
41,41,5,2020,1,150,UNDER,EAST,B,POA,2.1,90.72,0.9988,9.36552,87.71296487,NA,NA,NA,0.15,282.4333901,5.643442736,5.861554221
42,42,5,2020,2,150,OVER,EAST,B,OVER,3.95,170.64,0.9765,9.14816,83.68883139,NA,NA,NA,0.3,45.7857856,3.823973685,4.038659402
43,43,5,2020,1,150,UNDER,EAST,B,FAB,4.99,215.568,0.9827,9.13334,83.41789956,NA,NA,NA,0.2,328.2191757,5.793681604,4.033780236
44,44,5,2020,3,150,OVER,EAST,B,OVER,4.29,185.328,0.9913,9.35564,87.52799981,NA,NA,NA,0.37,497.3283608,6.209250494,4.098681733
45,45,5,2020,1,150,UNDER,EAST,B,AST,9.5,410.4,0.9869,9.41986,88.73376242,NA,NA,NA,0.5,716.4335187,6.574285457,5.227333449
46,46,5,2020,6,150,OVER,EAST,B,OVER,7.02,303.264,0.9303,9.60264,92.21069497,NA,NA,NA,0.28,584.1634715,6.370180861,4.721635838
47,47,5,2020,1,150,UNDER,EAST,B,POA,3.57,154.224,0.9789,9.45938,89.47986998,NA,NA,NA,0.05,123.1479751,4.813386682,4.085363066
48,48,5,2020,6,150,UNDER,EAST,B,AST,5.15,222.48,0.9794,9.78048,95.65778903,NA,NA,NA,0.525,300.852959,5.706621637,6.892348531
49,49,5,2020,2,150,OVER,EAST,B,OVER,3.55,153.36,0.9527,9.55818,91.35880491,NA,NA,NA,0.32,440.6662583,6.088287805,6.681412753
50,50,5,2020,1,150,UNDER,EAST,B,AST,5.69,245.808,0.9824,9.81012,96.23845441,NA,NA,NA,0.035,169.2846096,5.131581379,4.26286685
51,51,5,2020,2,150,UNDER,EAST,B,AST,6.34,273.888,0.96,9.573,91.642329,NA,NA,NA,0.08,49.82054832,3.908427516,4.257053393
52,52,5,2020,3,150,OVER,EAST,B,OVER,10.33,446.256,0.9657,9.73108,94.69391797,NA,NA,NA,0.115,41.22474949,3.719038792,2.749393364
53,53,5,2020,1,150,UNDER,EAST,B,POA,8.6,371.52,0.9034,9.55818,91.35880491,NA,NA,NA,0.07,193.3177614,5.264335267,4.758208354
54,54,5,2020,1,150,UNDER,EAST,B,FAB,3.8,164.16,0.983,9.2519,85.59765361,NA,NA,NA,0.03,147.3565514,4.99285517,5.494443904
55,55,5,2020,3,150,UNDER,EAST,B,AST,7.84,338.688,0.9627,9.46926,89.66688495,NA,NA,NA,0.54,137.1819323,4.921308018,6.743222855
56,56,5,2020,1,150,UNDER,EAST,B,FAB,4.76,205.632,0.9909,9.65698,93.25726272,NA,NA,NA,0.15,66.66129704,4.19962453,6.220800105
57,57,5,2020,5,150,UNDER,EAST,B,POA,3.97,171.504,0.9825,9.66686,93.44818226,NA,NA,NA,0.32,336.8149745,5.819533742,4.870618981
58,58,5,2020,2,150,UNDER,EAST,B,FAB,3.1,133.92,0.9846,9.61746,92.49553685,NA,NA,NA,0.67,302.2563547,5.711275514,5.913960359
59,59,5,2020,3,150,UNDER,EAST,B,POA,2.72,117.504,0.9845,9.16792,84.05075713,NA,NA,NA,0.17,198.2296465,5.289426189,4.492095098
60,60,5,2020,6,150,OVER,EAST,B,OVER,7.15,308.88,0.9768,9.40998,88.5477236,NA,NA,NA,0.25,1121.488611,7.022412199,14.20542467
61,61,5,2020,1,50,UNDER,EAST,B,POA,2.92,126.144,0.9826,9.21238,84.86794526,NA,NA,NA,0.15,289.4503687,5.667983844,6.202495812
62,63,5,2020,1,50,UNDER,EAST,B,FAB,3.17,136.944,0.9993,9.34576,87.34322998,NA,NA,NA,0.07,93.85208926,4.541720024,3.915428214
63,64,5,2020,3,50,OVER,EAST,B,OVER,3.24,139.968,0.9897,9.26672,85.87209956,NA,NA,NA,0.3201,82.97577237,4.418548666,5.679626123
64,65,5,2020,1,50,UNDER,EAST,B,AST,3.59,155.088,0.9844,9.59276,92.02104442,NA,NA,NA,0.6,501.7139725,6.218030181,5.179916464
65,66,5,2020,6,50,OVER,EAST,B,OVER,3.77,162.864,0.9851,9.50878,90.41689709,NA,NA,NA,0.17,270.1536775,5.598990973,11.0843911
66,67,5,2020,1,50,UNDER,EAST,B,POA,4.87,210.384,0.9639,9.61252,92.40054075,NA,NA,NA,0.1,652.5790132,6.480932225,5.497571566
67,68,5,2020,6,50,UNDER,EAST,B,AST,4.23,182.736,0.9884,9.64216,92.97124947,NA,NA,NA,0.485,959.9226774,6.866852737,7.21622185
68,69,5,2020,2,50,OVER,EAST,B,OVER,3.93,169.776,0.964,9.33094,87.06644128,NA,NA,NA,0.18,807.3033921,6.693699548,7.242747712
69,70,5,2020,1,50,UNDER,EAST,B,AST,3.51,151.632,0.9818,9.66192,93.35269809,NA,NA,NA,0.75,592.5838458,6.384492375,10.52819292
70,71,5,2020,2,50,UNDER,EAST,B,AST,4.55,196.56,0.9769,9.44456,89.19971359,NA,NA,NA,0.195,104.0267083,4.644647677,9.406513773
71,72,5,2020,3,50,OVER,EAST,B,OVER,4.21,181.872,0.9613,9.62734,92.68567548,NA,NA,NA,0.285,321.0267726,5.771524523,11.36666694
72,73,5,2020,1,50,UNDER,EAST,B,POA,2.62,113.184,0.9978,9.75578,95.17524341,NA,NA,NA,0.04,1526.543702,7.330761441,5.374831346
73,74,5,2020,1,50,UNDER,EAST,B,FAB,2.95,127.44,0.9722,9.64216,92.97124947,NA,NA,NA,0.03,72.27487995,4.280476627,7.347586369
74,75,5,2020,3,50,UNDER,EAST,B,AST,4.49,193.968,0.9747,10.15592,103.142711,NA,NA,NA,0.67,19.64754018,2.977952149,6.244757455
75,76,5,2020,1,50,UNDER,EAST,B,FAB,3.33,143.856,0.9835,10.14604,102.9421277,NA,NA,NA,0.15,100.16737,4.606842487,9.55347399
76,77,5,2020,5,50,UNDER,EAST,B,POA,2.99,129.168,0.9811,10.28436,105.7680606,NA,NA,NA,0.365,1031.846708,6.939105396,7.346177648
77,78,5,2020,2,50,UNDER,EAST,B,FAB,2.9,125.28,0.9927,10.44738,109.1477489,NA,NA,NA,0.37,1468.478204,7.291981908,5.661529838
78,79,5,2020,3,50,UNDER,EAST,B,POA,3.56,153.792,0.9992,10.7092,114.6869646,NA,NA,NA,0.12,159.9871129,5.075093268,6.580484247
79,80,5,2020,6,50,OVER,EAST,B,OVER,3.86,166.752,0.9781,11.39092,129.7530584,NA,NA,NA,0.33,135.0768387,4.905843792,10.45161799
80,81,5,2020,6,50,OVER,EAST,C,OVER,3,129.6,0.9864,11.7466,137.9826116,NA,NA,NA,0.09,284.1876348,5.649634706,6.302988591
81,82,5,2020,6,50,OVER,EAST,C,OVER,2.98,128.736,0.9895,11.95902,143.0181594,NA,NA,NA,0.305,149.9879183,5.010554746,7.72899702
82,83,5,2020,1,50,UNDER,EAST,C,FAB,2.98,128.736,0.9891,12.3147,151.6518361,NA,NA,NA,0.15,101.2199168,4.617295544,3.924863124
83,84,5,2020,2,50,UNDER,EAST,C,POA,2.25,97.2,0.9955,12.35916,152.7488359,NA,NA,NA,0.04,6.315280772,1.842972216,5.265184073
84,85,5,2020,3,50,OVER,EAST,C,OVER,3.65,157.68,0.9919,12.23072,149.5905117,NA,NA,NA,0.22,795.7253773,6.679254123,5.96196869
85,86,5,2020,2,50,UNDER,EAST,C,POA,3.81,164.592,0.9897,11.97384,143.3728443,NA,NA,NA,0.2,275.4164115,5.618284176,6.830299365
86,87,5,2020,5,50,UNDER,EAST,C,POA,3.07,132.624,0.9951,11.9936,143.846441,NA,NA,NA,0.185,462.5943166,6.136850464,6.162209364
87,88,5,2020,2,50,UNDER,EAST,C,AST,4.64,200.448,0.9829,12.23072,149.5905117,NA,NA,NA,0.42,630.6509549,6.446752548,6.702686463
88,89,5,2020,3,50,OVER,EAST,C,OVER,3.18,137.376,0.9855,12.26036,150.3164273,NA,NA,NA,0.12,142.6200908,4.960184387,4.279626123
89,90,5,2020,3,50,UNDER,EAST,C,FAB,3.84,165.888,0.9578,12.57652,158.1688553,NA,NA,NA,0.445,182.7922935,5.2083505,6.726834286
90,92,5,2020,2,50,OVER,EAST,C,OVER,3.34,144.288,0.9881,13.30764,177.0932824,NA,NA,NA,0.22,141.7429684,4.954015336,4.882876427
91,93,5,2020,1,50,UNDER,EAST,C,AST,4.01,173.232,0.9767,13.66332,186.6863134,NA,NA,NA,0.25,639.9484516,6.461387629,5.95998973
92,94,5,2020,2,50,OVER,EAST,C,OVER,4.95,213.84,0.9843,14.12274,199.4517851,NA,NA,NA,0.75,798.3567443,6.682555546,11.07536705
93,95,5,2020,1,50,UNDER,EAST,C,AST,3.51,151.632,0.9731,13.7473,188.9882573,NA,NA,NA,0.05,563.4633845,6.334102353,6.082918388
94,96,5,2020,2,50,UNDER,EAST,C,FAB,3.46,149.472,0.9819,14.3648,206.347479,NA,NA,NA,0.36,169.9863075,5.13571789,5.747934507
95,97,5,2020,6,50,UNDER,EAST,C,FAB,3.46,149.472,0.9765,13.88068,192.6732773,NA,NA,NA,0.6275,161.3905086,5.083826947,4.775193631
96,98,5,2020,1,50,UNDER,EAST,C,POA,3.1,133.92,0.9741,14.10298,198.8940449,NA,NA,NA,0.05,191.9143657,5.257049261,6.880371032
97,99,5,2020,2,50,OVER,EAST,C,OVER,2.39,103.248,0.9858,14.19684,201.550266,NA,NA,NA,0.02,694.330036,6.542947404,5.926737751
98,100,5,2020,1,50,UNDER,EAST,C,FAB,2.47,106.704,0.9757,14.32034,205.0721377,NA,NA,NA,0.6,171.2142787,5.142915864,4.526654408
99,101,5,2020,6,150,OVER,EAST,C,OVER,2.21,95.472,0.997,15.0564,226.695181,NA,NA,NA,0.12,283.6613614,5.647781137,4.352007081
100,102,5,2020,6,150,OVER,EAST,C,OVER,4.18,180.576,0.9719,15.49606,240.1278755,NA,NA,NA,0.15,186.3007828,5.227362479,7.454079216
101,103,5,2020,1,150,UNDER,EAST,C,FAB,2.87,123.984,0.984,15.90608,253.003381,NA,NA,NA,0.3,71.22233316,4.265806437,5.805692491
102,104,5,2020,2,150,UNDER,EAST,C,POA,3.09,133.488,0.9984,16.03946,257.2642771,NA,NA,NA,0.04,66.48587258,4.196989483,5.726141794
103,105,5,2020,3,150,OVER,EAST,C,OVER,7.23,312.336,0.9472,16.12344,259.9653174,NA,NA,NA,0.18,328.5700246,5.79474998,7.698399147
104,106,5,2020,2,150,UNDER,EAST,C,POA,3.53,152.496,0.9854,16.3655,267.8295903,NA,NA,NA,0.3,71.22233316,4.265806437,9.012434212
105,107,5,2020,5,150,UNDER,EAST,C,POA,5.51,238.032,0.9852,16.23212,263.4817197,NA,NA,NA,0.225,142.9709397,4.962641391,8.480130905
106,108,5,2020,2,150,UNDER,EAST,C,AST,7.13,308.016,0.9779,16.57298,274.6636661,NA,NA,NA,0.33,110.1665646,4.701993444,12.1095797
107,109,5,2020,3,150,OVER,EAST,C,OVER,2.85,123.12,0.9412,16.58286,274.9912458,NA,NA,NA,0.08,12.10428815,2.493559782,3.869459757
108,110,5,2020,3,150,UNDER,EAST,C,FAB,2.53,109.296,0.9871,16.42972,269.9356993,NA,NA,NA,0.125,65.78417471,4.186379303,4.653917161
109,112,5,2020,2,150,OVER,EAST,C,OVER,4.13,178.416,0.9889,16.67178,277.9482484,NA,NA,NA,0.12,54.73243336,4.002456465,4.231954269
110,113,5,2020,1,150,UNDER,EAST,C,AST,4.66,201.312,0.9855,16.4643,271.0731745,NA,NA,NA,0.15,141.3921195,4.95153702,5.693502622
111,114,5,2020,2,150,OVER,EAST,C,OVER,4.58,197.856,0.9911,16.5631,274.3362816,NA,NA,NA,0.6,381.0219399,5.942856959,8.195446534
112,115,5,2020,1,150,UNDER,EAST,C,AST,2.53,109.296,0.9851,15.96042,254.7350066,NA,NA,NA,0.125,54.90785783,4.005656468,6.217598179
113,116,5,2020,2,150,UNDER,EAST,C,FAB,2.94,127.008,0.9906,16.42972,269.9356993,NA,NA,NA,0.26,84.3791681,4.435320548,5.051778596
114,117,5,2020,6,150,UNDER,EAST,C,FAB,4.01,173.232,0.9669,16.5384,273.5186746,NA,NA,NA,0.2825,144.5497599,4.973623807,6.575834403
115,118,5,2020,1,150,UNDER,EAST,C,POA,3.44,148.608,0.9848,17.2547,297.7246721,NA,NA,NA,0.05,89.29105314,4.491901294,4.934661616
116,119,5,2020,2,150,OVER,EAST,C,OVER,3.98,171.936,0.9906,17.54122,307.6943991,NA,NA,NA,0.02,181.0380488,5.198707224,6.912773943
117,120,5,2020,1,150,UNDER,EAST,C,FAB,2.57,111.024,0.9898,17.67954,312.5661346,NA,NA,NA,0.3,201.3872869,5.305229855,6.083659033
118,1,6,2020,5,50,OVER,EAST,A,OVER,3.99,172.368,0.9984,13.53488,183.1929766,NA,NA,NA,1.1075,438.9120137,6.084298969,5.025528036
119,2,6,2020,3,50,UNDER,EAST,A,AST,5.99,258.768,0.9788,13.07546,170.9676542,NA,NA,NA,0.34,363.3040689,5.895240139,4.641292651
120,3,6,2020,1,50,UNDER,EAST,A,FAB,2.59,111.888,0.9852,13.29282,176.6990636,NA,NA,NA,0.15,177.704984,5.180124782,3.970282121
121,4,6,2020,6,50,UNDER,EAST,A,AST,4.9,211.68,0.9752,14.78964,218.7334513,NA,NA,NA,0.69,732.3971451,6.596322915,5.158898682
122,5,6,2020,1,50,UNDER,EAST,A,POA,7.48,323.136,0.9723,15.79246,249.4017929,NA,NA,NA,0.85,562.7616866,6.332856247,5.154369961
123,6,6,2020,1,50,UNDER,EAST,A,AST,4.66,201.312,0.9785,15.16508,229.9796514,NA,NA,NA,0.3,294.1868293,5.684215039,4.508391669
124,7,6,2020,2,50,OVER,EAST,A,OVER,7.5,324,0.9697,15.14038,229.2311065,NA,NA,NA,0.41,306.6419664,5.725680834,5.94823297
125,8,6,2020,3,50,UNDER,EAST,A,FAB,5.19,224.208,0.9778,15.501,240.281001,NA,NA,NA,0.73,2451.381487,7.804407017,5.662094958
126,9,6,2020,6,50,OVER,EAST,A,OVER,6.01,259.632,0.9386,15.11568,228.4837819,NA,NA,NA,0.785,324.3598375,5.781853509,4.779844857
127,10,6,2020,2,50,OVER,EAST,A,OVER,6.76,292.032,0.972,13.85598,191.9881818,NA,NA,NA,0.45,552.5870676,6.314611009,5.728620757
128,11,6,2020,1,50,UNDER,EAST,A,FAB,4.22,182.304,0.974,13.51512,182.6584686,NA,NA,NA,0.6,295.0639516,5.687192118,6.085179534
129,12,6,2020,2,50,UNDER,EAST,A,FAB,5.19,224.208,0.9756,13.69296,187.4971536,NA,NA,NA,0.25,138.5853281,4.931486223,5.722434159
130,13,6,2020,1,50,UNDER,EAST,A,POA,2.04,88.128,0.9899,13.19896,174.2125451,NA,NA,NA,0.75,134.1997164,4.899329111,5.381563395
131,14,6,2020,1,50,UNDER,EAST,A,AST,3.82,165.024,0.9801,13.0557,170.4513025,NA,NA,NA,0.025,392.0736813,5.971449785,5.579532541
132,15,6,2020,2,50,OVER,EAST,A,OVER,7.21,311.472,0.9817,14.29564,204.365323,NA,NA,NA,0.9,616.2661487,6.42367893,6.227438124
133,16,6,2020,2,50,UNDER,EAST,A,POA,9.73,420.336,0.9722,13.76706,189.531941,NA,NA,NA,0.95,3399.024451,8.131243743,7.660242834
134,17,6,2020,3,50,OVER,EAST,A,OVER,7.56,326.592,0.9758,12.92726,167.1140511,NA,NA,NA,0.92,1187.799059,7.079857343,8.374918822
135,18,6,2020,6,50,UNDER,EAST,A,FAB,4.62,199.584,0.9776,13.0804,171.0968642,NA,NA,NA,0.955,88.58935528,4.484011707,5.963299985
136,19,6,2020,2,50,UNDER,EAST,A,AST,7.77,335.664,0.9829,13.18908,173.9518312,NA,NA,NA,0.55,219.8068558,5.392749233,6.234728974
137,20,6,2020,2,50,OVER,EAST,A,OVER,6.23,269.136,0.9693,12.4876,155.9401538,NA,NA,NA,0.1,471.8918133,6.15674975,4.926502467
138,21,6,2020,5,150,OVER,EAST,A,OVER,10.75,464.4,0.9647,11.83552,140.0795337,NA,NA,NA,0.9125,368.2159539,5.908669597,7.029422123
139,22,6,2020,3,150,UNDER,EAST,A,AST,8.99,388.368,0.977,15.29352,233.891754,NA,NA,NA,0.74,662.7536322,6.496403326,13.74515935
140,23,6,2020,1,150,UNDER,EAST,A,FAB,2.82,121.824,0.9926,14.5377,211.3447213,NA,NA,NA,0.07,105.6055285,4.659710723,3.649135575
141,24,6,2020,6,150,UNDER,EAST,A,AST,7.2,311.04,0.9602,17.16084,294.4944295,NA,NA,NA,0.9025,575.9185216,6.355966195,16.8412737
142,25,6,2020,1,150,UNDER,EAST,A,POA,11.43,493.776,0.9703,18.96888,359.8184085,NA,NA,NA,0.95,744.6768578,6.612950376,5.437246251
143,26,6,2020,1,150,UNDER,EAST,A,AST,8.64,373.248,0.9951,15.78258,249.0898315,NA,NA,NA,0.25,115.4292986,4.748658209,6.66193139
144,27,6,2020,2,150,OVER,EAST,A,OVER,16.110001,695.9520432,0.9042,15.96536,254.8927199,NA,NA,NA,0.755,155.2506523,5.045040922,5.472568603
145,28,6,2020,3,150,UNDER,EAST,A,FAB,6.38,275.616,0.9787,18.02534,324.9128821,NA,NA,NA,0.805,98.06227644,4.585602751,5.835250072
146,29,6,2020,6,150,OVER,EAST,A,OVER,7.75,334.8,0.9839,18.8355,354.7760603,NA,NA,NA,0.705,214.7195463,5.369332741,5.329849878
147,30,6,2020,2,150,OVER,EAST,A,OVER,2.14,92.448,0.9531,17.1312,293.4780134,NA,NA,NA,0.45,43.68069201,3.776906174,3.910767942
148,31,6,2020,1,150,UNDER,EAST,A,FAB,8.4,362.88,0.9751,17.41772,303.37697,NA,NA,NA,0.45,407.8618832,6.010928596,3.961492776
149,32,6,2020,2,150,UNDER,EAST,A,FAB,3.02,130.464,0.9821,15.95548,254.577342,NA,NA,NA,0.23,612.4068105,6.417396785,5.449767805
150,33,6,2020,1,150,UNDER,EAST,A,POA,6.59,284.688,0.9756,19.38384,375.7332531,NA,NA,NA,0.2,423.4746607,6.048493679,5.014879376
151,34,6,2020,1,150,UNDER,EAST,A,AST,2.97,128.304,0.9935,17.40784,303.0328935,NA,NA,NA,0.04,91.0452978,4.511357161,4.245498933
152,35,6,2020,2,150,OVER,EAST,A,OVER,11.99,517.968,0.9705,17.88208,319.7687851,NA,NA,NA,1.05,335.9378522,5.816926179,5.549164891
153,36,6,2020,2,150,UNDER,EAST,A,POA,10.55,455.76,0.9643,17.51652,306.8284729,NA,NA,NA,1,1454.268822,7.282258525,7.251931498
154,37,6,2020,3,150,OVER,EAST,A,OVER,6.15,265.68,0.9921,19.60614,384.4007257,NA,NA,NA,0.75,342.9548308,5.83759875,10.48702638
155,38,6,2020,6,150,UNDER,EAST,A,FAB,8.99,388.368,0.9613,20.26316,410.5956532,NA,NA,NA,1.28,166.8286671,5.11696734,4.351492593
156,39,6,2020,2,150,UNDER,EAST,A,AST,2.2,95.04,0.9816,20.19894,407.9971771,NA,NA,NA,0.87,180.6871999,5.196767359,6.046626432
157,40,6,2020,2,150,OVER,EAST,A,OVER,1.75,75.6,0.9785,19.1813,367.9222697,NA,NA,NA,0.22,93.15039139,4.534215299,4.558799987
158,41,6,2020,1,150,UNDER,EAST,B,POA,4.86,209.952,0.9987,19.67036,386.9230625,NA,NA,NA,0.65,282.4333901,5.643442736,5.861554221
159,42,6,2020,2,150,OVER,EAST,B,OVER,10.8,466.56,0.9702,20.3422,413.8051008,NA,NA,NA,1,45.7857856,3.823973685,4.038659402
160,43,6,2020,1,150,UNDER,EAST,B,FAB,8.37,361.584,0.9895,19.39372,376.1163754,NA,NA,NA,0.3,328.2191757,5.793681604,4.033780236
161,44,6,2020,3,150,OVER,EAST,B,OVER,8.94,386.208,0.9123,21.39936,457.9326084,NA,NA,NA,1.03,497.3283608,6.209250494,4.098681733
162,45,6,2020,1,150,UNDER,EAST,B,AST,5.35,231.12,0.9811,21.14742,447.2133727,NA,NA,NA,0.85,716.4335187,6.574285457,5.227333449
163,46,6,2020,6,150,OVER,EAST,B,OVER,15.48,668.736,0.894,18.25258,333.1566767,NA,NA,NA,0.525,584.1634715,6.370180861,4.721635838
164,47,6,2020,1,150,UNDER,EAST,B,POA,4.68,202.176,0.9899,19.40854,376.6914249,NA,NA,NA,0.07,123.1479751,4.813386682,4.085363066
165,48,6,2020,6,150,UNDER,EAST,B,AST,1.12,48.384,0.4735,21.90818,479.9683509,NA,NA,NA,0.72,300.852959,5.706621637,6.892348531
166,49,6,2020,2,150,OVER,EAST,B,OVER,4.47,193.104,0.9997,20.89054,436.4146615,NA,NA,NA,0.77,440.6662583,6.088287805,6.681412753
